Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.sdk.coders,MyValueA,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,MyValueB,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,MyValueC,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,MyValueACoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomCoder
sdks,org.apache.beam.sdk.coders,MyValueACoderProviderRegistrar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,MyValueBCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomCoder
sdks,org.apache.beam.sdk.coders,MyValueBCoderProviderRegistrar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,CoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: expectedException
sdks,org.apache.beam.sdk.coders,CollectionCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,CustomCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; key
sdks,org.apache.beam.sdk.coders,MyCustomCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomCoder
sdks,org.apache.beam.sdk.coders,DefaultCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown
sdks,org.apache.beam.sdk.coders,AvroRecord,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,SerializableBase,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,SerializableRecord,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
